step,particle,x,y,z
37,6,30.040232,-16.165754,37.269054
37,7,26.330797,-30.862965,27.571327
37,8,22.978569,-33.240143,28.600603
37,9,64.374763,-14.084607,32.664158
38,0,49.723759,-4.224658,16.895420
38,1,43.464447,-0.661850,36.237049
38,2,37.916435,-15.776047,15.119695
38,3,31.706638,-10.268148,27.684992
38,4,56.321720,-26.197428,7.366188
38,5,31.978392,-18.331347,52.837692
38,6,37.847015,-2.224290,30.524426
38,7,20.730251,-39.063427,52.912933
38,8,48.795116,-8.073974,24.903101
38,9,47.486889,-31.783905,5.394741
39,0,48.130287,-19.898537,31.329088
39,1,48.574409,-1.116320,29.469042
39,2,25.658880,-18.707237,43.175323
39,3,46.165657,-19.884802,38.440125
39,4,29.449593,-22.757818,29.861567
39,5,31.345772,-16.656481,18.248566
39,6,48.969112,-20.767803,46.439667
39,7,43.028568,-33.208961,24.564411
39,8,33.313446,-9.482085,8.579590
39,9,39.718903,-40.847992,24.359791
40,0,47.035362,-23.810034,14.338293
40,1,29.268112,-8.280860,21.964081
40,2,29.218195,-26.140030,52.970947
40,3,60.695347,-13.852043,33.642017
40,4,34.692364,-35.010757,36.944038
40,5,9.029835,2.194963,21.930073
40,6,3.650318,-27.056709,38.430527
40,7,19.396360,-37.321312,38.467804
40,8,8.019550,-21.375801,25.703810
40,9,34.877850,-25.071465,26.375099
41,0,25.683903,-29.769629,42.675514
41,1,61.914467,-20.005751,47.390060
41,2,52.199932,-1.040163,36.065495
41,3,40.421127,-6.603686,23.000212
41,4,62.152550,-20.390568,29.307285
41,5,76.856415,-9.724801,10.381559
41,6,-0.271355,-8.820986,25.872616
41,7,44.586643,7.761734,31.371214
41,8,45.864796,-19.082703,47.462357
41,9,52.446381,11.851488,39.705750
42,0,35.037666,-42.083405,30.882145
42,1,30.085276,-19.098600,34.488594
42,2,37.524887,-26.208782,8.924419
42,3,53.107376,-2.550820,21.186642
42,4,37.636871,19.282682,42.019196
42,5,45.038528,-19.896656,25.351053
42,6,21.544336,-39.971424,54.187233
42,7,10.563000,-31.912655,18.382227
42,8,57.298458,-36.238655,22.005180
42,9,57.318947,1.498991,40.890434
43,0,49.995056,-8.134108,36.818993
43,1,67.989273,-10.841894,1.456821
43,2,48.690281,-29.865499,23.527296
43,3,46.593273,0.755960,17.675220
43,4,65.534409,-9.643621,67.002472
43,5,45.498215,10.031988,46.362999
43,6,38.506119,-22.364628,65.556747
43,7,19.506958,-25.843054,26.143316
43,8,51.463936,-1.531042,20.838200
43,9,27.741261,-36.074028,37.063877
44,0,45.792576,4.093826,48.259270
44,1,82.769638,-28.147518,50.130493
44,2,45.723415,-21.128937,26.063114
44,3,14.118727,2.028801,43.428032
44,4,27.105877,-14.070293,54.619423
44,5,26.678488,-10.419553,22.124413
44,6,57.731377,-14.567155,55.398140
44,7,-4.210659,-10.131471,57.075699
44,8,56.760754,6.757126,36.765427
44,9,61.662041,-33.960075,49.142002
45,0,28.597780,-7.951932,38.826939
45,1,50.214676,-23.461056,18.640192
45,2,39.319248,-29.125999,49.694099
45,3,49.043678,-22.530369,12.042202
45,4,34.071754,-10.373773,35.751263
45,5,31.857943,-10.938766,54.328205
45,6,46.811520,-37.560791,31.701881
45,7,42.404018,-41.916687,39.515800
45,8,57.539391,-28.615490,40.279415
45,9,36.050911,-38.250809,27.979921
46,0,53.506493,-19.120468,58.535576
46,1,40.444420,-20.077713,43.299118
46,2,35.919559,-26.594078,15.726550
46,3,47.165691,-9.165617,29.890959
46,4,29.380167,-32.317314,17.990372
46,5,28.732048,-40.984581,-1.950994
46,6,60.435112,-18.715656,32.913486
46,7,33.719833,-30.371016,4.915817
46,8,39.325039,-12.864916,39.235741
46,9,72.590981,-22.610783,48.674599
47,0,42.136909,8.269388,20.865591
47,1,36.203350,-24.955687,-0.333628
47,2,26.640116,-25.750364,37.464352
47,3,31.628010,-8.858910,58.154694
47,4,38.601231,-23.981255,26.248177
47,5,58.478775,-29.058155,33.396755
47,6,2.076885,-26.818970,27.400318
47,7,39.940205,-19.384369,16.661812
47,8,61.620285,-6.675797,3.450285
47,9,48.622047,-8.790060,39.991558
48,0,51.477562,-23.743534,32.923409
48,1,24.180138,-5.909740,35.561119
48,2,74.598877,-43.884247,35.227062
48,3,65.238281,-13.346161,3.747850
48,4,38.763611,-30.427402,21.112465
48,5,73.033203,-10.464535,29.469345
48,6,29.150581,-17.311232,16.752605
48,7,22.443779,-3.060703,20.968208
48,8,67.795036,22.848154,27.681305
48,9,24.776539,-2.741955,35.314404
49,0,30.967274,-26.043478,30.517210
49,1,48.249863,-5.434525,49.524254
49,2,63.484489,-22.234274,36.052998
49,3,44.151482,-18.578289,33.314957
49,4,61.029167,-4.475901,8.948442
49,5,59.118141,3.331442,19.241123
49,6,28.001276,-16.546263,45.242905
49,7,54.758743,-33.970387,9.677382
49,8,47.562752,-49.163673,22.422724
49,9,32.540192,-34.388477,26.801664
50,0,22.475344,-21.356926,40.124123
50,1,63.952011,-7.557113,37.783764
50,2,38.214340,-16.791212,36.024185
50,3,34.041473,-32.307114,38.379395
50,4,37.002953,-21.102142,9.858545
50,5,61.188046,-36.152744,21.662636
50,6,61.160828,-7.226915,25.206287
50,7,50.033310,-7.526710,34.349819
50,8,24.188234,-14.700382,26.667765
50,9,29.465685,-5.228212,-2.214060
